country_name,country_identifier,observation_year,adaptive_capacity_index,foreign_direct_investment_net_inflows_pct_gdp,forest_area_pct_land_area,real_gdp_constant_2015_usd,renewable_energy_consumption_pct_final_energy_use,natural_capital_dependency_index,urban_population_pct_total_population,readiness_index,official_development_assistance_usd,ecological_footprint_index,co2_emissions_metric_tonnes_per_capita,total_greenhouse_gas_emissions_kt_co2e,average_temperature_celsius,annual_precipitation_mm,land_area_sq_km,surface_area_sq_km,total_population,greenhouse_gas_emissions_metric_tonnes_per_capita,data_observacao
Angola,4,2012,0.732008749691643,-1.143768334101234,56.988751102911685,104627881965.96732,49.4432983398438,0.16332997,61.268,0.203026983495024,243610000.610352,1.08242675054464,1.2047988832211345,84930.0,21.6,1019.6,1246700.0,1246700.0,25107925,3.382597327337882,2012-01-01
Angola,4,2013,0.73611780171268,-5.208122718441347,56.543526108927566,109811717090.51398,47.9384994506836,0.16332997,62.002,0.210565758871821,285540008.544922,1.39461342834263,1.2615417423867186,88410.0,21.65,984.63,1246700.0,1246700.0,26015786,3.3983213115298536,2013-01-01
Angola,4,2014,0.742853073679358,2.510095008962253,56.09830111494345,115107527232.24348,48.2112998962402,0.16332997,62.731,0.216200642581635,235389999.389648,1.50393026306779,1.2853645526595447,88980.0,21.65,1008.86,1246700.0,1246700.0,26941773,3.3026779640671755,2014-01-01
Angola,4,2015,0.732507150562381,8.630605233788971,55.65307612095933,116193649124.15137,47.815601348877,0.16332997,63.446,0.211237325745513,380059997.558594,1.08176805983364,1.2609209887399326,90620.0,21.78,956.62,1246700.0,1246700.0,27884380,3.2498481228558784,2015-01-01
Angola,4,2016,0.734412223465346,-0.1775225300304488,55.20784471003449,113195795293.51578,49.0080986022949,0.16332997,64.149,0.239100597778934,206529998.779297,0.900123474898195,1.2277029417925962,91240.0,22.06,979.6,1246700.0,1246700.0,28842482,3.1633893366042494,2016-01-01
Angola,4,2017,0.738223338569915,-6.057209206065984,54.762629341461455,113029156434.07878,56.1805000305176,0.16332997,64.839,0.242842965968695,223220001.220703,0.939767172935544,1.0343172997718164,87180.0,21.92,1005.98,1246700.0,1246700.0,29816769,2.923858047798539,2017-01-01
Angola,4,2018,0.73880178350591,-6.369877272922306,54.31740595171252,110764470655.24689,56.7854995727539,0.16332997,65.514,0.25292204107517,162660003.66210902,0.861844672530626,0.8873803639083905,79730.0,21.74,1005.53,1246700.0,1246700.0,30809787,2.5878140605126547,2018-01-01
Angola,4,2019,0.73880178350591,-4.583546778864385,53.87217454078768,110072586683.26076,56.03939571334096,0.16332997,66.177,0.254809817306302,49540000.9155273,0.8704744898335186,0.8923523116064705,81089.56521739131,21.88,1012.26,1246700.0,1246700.0,31825299,2.547959257739929,2019-01-01
Angola,4,2020,0.7377847045604554,-3.197322308936497,53.42695115103875,104128680882.97385,55.29590855084693,0.16332997,66.825,0.2575880567506063,34253333.727518685,0.8792988528967942,0.8967014823286117,82594.32892249528,21.8,1019.67,1246700.0,1246700.0,32866268,2.513042518928382,2020-01-01
Antigua and Barbuda,3,1995,0.673945197875559,5.454043858185881,22.227272727272727,824511645.7783245,0.0,0.0872513009,33.961,0.464759205296364,2269999.98092651,4.21570015558637,3.9317334575955263,460.0,26.58,2296.3,440.0,440.0,68672,6.698508853681267,1995-01-01
Antigua and Barbuda,3,1996,0.670860644396602,3.053644795361974,22.077272727272728,878966185.3172486,0.0,0.0872513009,33.59,0.465263434352286,3869999.88555908,4.34393570211729,3.989968080255358,490.0,26.32,2636.9,440.0,440.0,70176,6.9824441404468764,1996-01-01
Antigua and Barbuda,3,1997,0.660637780105235,3.371116685803212,21.92727272727273,927059773.6676795,0.0,0.0872513009,33.221,0.467019353861282,4349999.90463257,4.57891333659684,4.183691968705984,520.0,26.43,2279.9,440.0,440.0,71707,7.251732745757039,1997-01-01
Antigua and Barbuda,3,1998,0.653245604179699,3.128911775780832,21.777272727272727,970920131.2341478,0.0,0.0872513009,32.855,0.468746835259729,9979999.54223633,4.71466428567691,4.507026864611644,570.0,26.87,2938.7,440.0,440.0,73219,7.784864584329204,1998-01-01
Antigua and Barbuda,3,1999,0.644719445004162,6.759662403201945,21.627272727272725,1006918139.9153976,0.0,0.0872513009,32.49,0.469906719235552,10840000.1525879,4.73093464829466,4.419208827704422,590.0,26.38,2544.8,440.0,440.0,74674,7.901009722259421,1999-01-01
Antigua and Barbuda,3,2000,0.642462677581188,5.21750627465041,21.477272727272727,1069381614.505197,0.0,0.0872513009,32.127,0.471990170773989,9880000.11444092,4.25562343990022,4.341705369242306,610.0,26.2,2019.8,440.0,440.0,76007,8.025576591629719,2000-01-01
Antigua and Barbuda,3,2001,0.639955910158214,12.299125526303612,21.325,1020746101.5423388,0.0,0.0872513009,31.74,0.472775833106873,8579999.92370605,4.12748964192521,4.532974149095995,650.0,26.6,2454.3,440.0,440.0,77212,8.418380562606849,2001-01-01
Antigua and Barbuda,3,2002,0.63751164273524,8.0877409804305,21.172727272727272,1031233675.3943168,0.0,0.0872513009,31.098,0.47594469199068,13510000.2288818,4.36912405591045,4.980970139722598,710.0,26.68,2508.1,440.0,440.0,78298,9.067919997956524,2002-01-01
Antigua and Barbuda,3,2003,0.632727253612813,19.421048925947265,21.020454545454545,1093897040.2100115,0.0,0.0872513009,30.464,0.479394028161868,5630000.11444092,4.73888212574556,5.169522512640113,750.0,26.64,2496.9,440.0,440.0,79311,9.456443620683132,2003-01-01
Antigua and Barbuda,3,2004,0.633465546936145,8.738066339946926,20.868181818181817,1156982395.5025969,0.0,0.0872513009,29.837,0.47963464822175,1899999.97615814,4.5571331912606,4.97840616326683,760.0,26.37,3059.6,440.0,440.0,80347,9.458971710206978,2004-01-01
Antigua and Barbuda,3,2005,0.62927287379005,21.60032983345401,20.715909090909093,1231883484.1481094,0.0,0.0872513009,29.218,0.493706580141856,8060000.419616699,4.8961315626903,5.033021531511625,790.0,26.77,3138.3,440.0,440.0,81462,9.697773194863863,2005-01-01
Antigua and Barbuda,3,2006,0.617850840616417,30.99521839977736,20.56363636363637,1388433067.064359,0.0,0.0872513009,28.606,0.461135792996357,3279999.97138977,4.73067340737922,5.319470470894034,860.0,26.58,3037.6,440.0,440.0,82715,10.397146829474702,2006-01-01
